id,relevance
1,1.94054
4,2.11796666667
5,2.007
6,2.2639075
7,2.00082
8,2.17483
10,2.59684666667
11,2.53182
12,2.198255
13,2.72838
14,2.7122425
15,2.2873
19,2.40965
22,2.7431
24,2.427765
25,2.16875
26,2.12374
28,2.3800975
29,1.97602666667
30,1.98451133333
31,2.690365
32,2.62524
33,1.924735
36,2.32663
39,2.2309
40,2.63326
41,2.62757
42,2.346598
43,2.7173175
44,2.317885
45,2.63421
46,2.56088
47,2.257565
49,2.7142
50,2.52806666667
52,2.49105
53,2.33877
54,2.32878333333
55,2.684575
56,2.7750725
57,2.14143
58,2.72915
59,2.53329142857
60,1.864022
61,2.45521
62,2.45994
63,2.66251
64,2.660925
66,2.569015
67,2.3592
68,1.88071
70,1.66688
71,2.521778
72,1.88459
73,1.855743
74,1.881742
76,1.956232
77,1.877432
78,1.86506866667
79,1.88546
80,1.902235
82,2.55562133333
83,2.33637666667
84,1.95127
86,2.31841
87,2.51258
89,1.94403714286
91,2.02177
93,1.92948
94,1.957995
95,1.94269133333
96,1.8414125
97,2.01926
98,2.10533416667
99,1.85727583333
100,2.72859
102,2.31775157143
103,2.00829
104,1.941428
107,2.43681666667
108,1.920375
109,2.57725
110,2.34236
111,2.34236
112,2.34600333333
115,1.95075083333
116,2.34765
118,2.59642333333
119,2.3205
121,2.35190166667
124,2.64894
126,2.37242
128,2.15212
129,2.4504
130,2.39643
131,2.29883
132,2.32088
133,2.66015
134,2.02731
135,2.22156666667
137,2.44694
139,2.57519866667
140,2.36962
141,2.19641833333
142,2.081643
144,2.61690166667
145,2.72847
146,1.8758707619
148,2.05882
151,2.42173583333
152,2.065671
153,2.459425
154,2.08791
155,2.01643
156,2.08377
159,2.14388666667
160,2.121559
161,2.33725
163,2.86677
167,2.43531333333
168,2.4268
169,1.89653666667
170,2.51077
171,2.610272
173,2.487013
174,2.32721833333
175,2.52051
176,2.18844
180,2.37696
183,2.36932166667
184,2.310605
185,2.310605
187,2.36391
188,1.9047322619
189,2.067245
190,2.27169
192,2.3832065
194,2.680524
196,1.87612
197,1.825935
198,2.57868
199,2.57868
200,2.61655
204,2.68182
206,2.43715
207,2.369048
208,2.3456475
209,2.18605
211,2.67658833333
212,2.32890666667
213,2.52037416667
216,2.49122666667
217,2.31122
218,2.4573
219,2.6313
220,2.32719
221,2.20345
222,2.2907
224,2.06237
225,2.51827
228,2.263
229,2.483524
230,2.59891
231,2.30337
232,2.32402
234,2.48520166667
235,2.585477
236,2.38969466667
237,2.38969466667
238,2.70014
239,2.15359
240,2.21734
242,2.689725
243,2.39358
244,2.31774
246,2.1366375
247,2.03006833333
248,2.08996666667
249,2.35771
250,2.08371666667
251,2.441665
252,2.4519925
253,2.11340666667
254,2.31688
256,2.49018
258,2.009235
260,2.06284
262,2.060605
263,2.2136775
264,1.96798333333
265,1.98572666667
267,2.45358633333
268,2.23181
269,2.0215
271,2.23569
273,2.45781333333
274,2.20608
277,2.32161
278,2.0918475
279,1.77380333333
280,2.41877
281,2.49464
282,2.77785666667
283,2.55884
285,2.58256
286,2.40776
287,1.98115
288,2.51319
289,2.51319
291,2.47197
292,2.48146
295,2.6136
296,2.6136
298,2.49064
299,2.34713
300,2.34664
301,2.43838
302,2.6288525
303,2.03488
