id,predict_0,predict_1,predict_2
11066,0.116977,0.882342,0.000680985
18000,0.917723,0.0820988,0.000177922
16964,0.998801,0.00119763,9.66987e-07
4795,0.685912,0.313589,0.000498752
3392,0.911765,0.0880501,0.000184772
3795,0.647118,0.352751,0.000131211
2881,0.764753,0.234712,0.000535295
1903,0.812533,0.187255,0.00021247
5245,0.88839,0.111515,9.45452e-05
6726,0.463394,0.536443,0.000163281
1311,0.81261,0.187273,0.000117749
15795,0.733066,0.266775,0.000158793
4315,0.911765,0.0880501,0.000184772
3393,0.917723,0.0820988,0.000177922
6764,0.931171,0.0682883,0.00054068
13039,0.983927,0.0160164,5.61211e-05
12331,0.263156,0.736781,6.204e-05
14276,0.917723,0.0820988,0.000177922
14638,0.733066,0.266775,0.000158793
6573,0.999829,0.000167249,3.45934e-06
2222,0.917723,0.0820988,0.000177922
8824,0.961576,0.0383716,5.21724e-05
6360,0.909128,0.0908144,5.77022e-05
7553,0.917723,0.0820988,0.000177922
13760,0.848441,0.151456,0.000102882
4284,0.917723,0.0820988,0.000177922
1356,0.911765,0.0880501,0.000184772
3410,0.764555,0.23533,0.000115465
4830,0.820808,0.179078,0.000113784
8998,0.820808,0.179078,0.000113784
18052,0.997358,0.00264064,9.60105e-07
7539,0.70404,0.294339,0.00162161
9529,0.702564,0.297294,0.000141966
3656,0.289784,0.710156,5.92693e-05
14238,0.917723,0.0820988,0.000177922
2682,0.989604,0.0103537,4.18577e-05
7312,0.889133,0.110829,3.76683e-05
12971,0.807073,0.192713,0.00021316
10735,0.733066,0.266775,0.000158793
4050,0.820808,0.179078,0.000113784
5943,0.690389,0.309399,0.000212482
6482,0.930259,0.0696242,0.000116719
9746,0.917723,0.0820988,0.000177922
13320,0.917723,0.0820988,0.000177922
803,0.809462,0.190409,0.000129342
15437,0.820808,0.179078,0.000113784
12302,0.992106,0.00788515,8.8861e-06
12271,0.733066,0.266775,0.000158793
5341,0.289784,0.710156,5.92693e-05
4427,0.999904,9.41822e-05,1.49459e-06
529,0.820808,0.179078,0.000113784
2022,0.820808,0.179078,0.000113784
14625,0.999558,0.000440419,1.50864e-06
2922,0.911765,0.0880501,0.000184772
16330,0.911765,0.0880501,0.000184772
12890,0.733066,0.266775,0.000158793
2140,0.476512,0.521042,0.00244592
13484,0.90913,0.0908398,3.05522e-05
12392,0.989757,0.0102029,3.97236e-05
2322,0.957785,0.0421011,0.000114248
567,0.917723,0.0820988,0.000177922
4436,0.994002,0.00597217,2.63044e-05
12156,0.999676,0.000318877,4.75315e-06
7508,0.705336,0.294588,7.59157e-05
6184,0.9359,0.0635806,0.000519883
12213,0.911765,0.0880501,0.000184772
6458,0.917723,0.0820988,0.000177922
13967,0.863682,0.136274,4.33896e-05
894,0.911765,0.0880501,0.000184772
7461,0.917723,0.0820988,0.000177922
8949,0.982774,0.0171731,5.29711e-05
3477,0.952723,0.0469304,0.000346529
2779,0.943542,0.0557764,0.000681152
13551,0.817171,0.182537,0.000292525
8297,0.88839,0.111515,9.45452e-05
5050,0.820808,0.179078,0.000113784
10716,0.90913,0.0908398,3.05522e-05
16075,0.943068,0.0546056,0.00232672
1366,0.647118,0.352751,0.000131211
774,0.733066,0.266775,0.000158793
7406,0.820808,0.179078,0.000113784
2526,0.820808,0.179078,0.000113784
9649,0.88839,0.111515,9.45452e-05
16115,0.424901,0.575034,6.51416e-05
14749,0.424901,0.575034,6.51416e-05
14952,0.820808,0.179078,0.000113784
4786,0.713512,0.284784,0.00170411
16513,0.998457,0.00153825,4.42074e-06
2002,0.244542,0.754993,0.000465051
4701,0.911765,0.0880501,0.000184772
7742,0.917723,0.0820988,0.000177922
5905,0.647118,0.352751,0.000131211
685,0.981002,0.0188432,0.000154634
11857,0.99873,0.00126953,3.46243e-07
11628,0.917723,0.0820988,0.000177922
15024,0.90913,0.0908398,3.05522e-05
4168,0.911765,0.0880501,0.000184772
11914,0.666843,0.333082,7.50228e-05
5293,0.885046,0.114868,8.5945e-05
3374,0.81261,0.187273,0.000117749
13055,0.178218,0.821275,0.000506657
17759,0.911765,0.0880501,0.000184772
590,0.911765,0.0880501,0.000184772
1353,0.693555,0.306242,0.000202542
11938,0.205483,0.7796,0.0149171
1018,0.911765,0.0880501,0.000184772
14945,0.733066,0.266775,0.000158793
1001,0.90913,0.0908398,3.05522e-05
3587,0.917723,0.0820988,0.000177922
868,0.630599,0.369157,0.000244153
9296,0.917723,0.0820988,0.000177922
12455,0.789706,0.209077,0.00121674
17132,0.808806,0.191156,3.80343e-05
10240,0.820808,0.179078,0.000113784
3696,0.917723,0.0820988,0.000177922
10355,0.984406,0.0153325,0.000261978
2206,0.986669,0.0132823,4.85465e-05
14590,0.244542,0.754993,0.000465051
13191,0.812533,0.187255,0.00021247
5882,0.989757,0.0102029,3.97236e-05
12653,0.733066,0.266775,0.000158793
1491,0.569941,0.429811,0.000248109
1176,0.966287,0.0336413,7.13631e-05
11246,0.917723,0.0820988,0.000177922
14557,0.957785,0.0421011,0.000114248
4772,0.765721,0.233971,0.000308017
17192,0.733066,0.266775,0.000158793
10637,0.90913,0.0908398,3.05522e-05
3281,0.88839,0.111515,9.45452e-05
3191,0.917723,0.0820988,0.000177922
672,0.733066,0.266775,0.000158793
6301,0.90913,0.0908398,3.05522e-05
10309,0.812605,0.187272,0.000123858
1734,0.979153,0.0207148,0.000131735
2990,0.723594,0.276193,0.000213054
5746,0.994012,0.0059751,1.25795e-05
15289,0.90913,0.0908398,3.05522e-05
2971,0.733066,0.266775,0.000158793
9771,0.817171,0.182537,0.000292525
11253,0.647118,0.352751,0.000131211
14576,0.953926,0.046043,3.12047e-05
4688,0.911765,0.0880501,0.000184772
14469,0.820808,0.179078,0.000113784
9298,0.289784,0.710156,5.92693e-05
16099,0.820808,0.179078,0.000113784
17316,0.755416,0.244558,2.61549e-05
15212,0.170122,0.829394,0.000483642
10691,0.911765,0.0880501,0.000184772
3805,0.885046,0.114868,8.5945e-05
6418,0.820808,0.179078,0.000113784
1158,0.863682,0.136274,4.33896e-05
7768,0.820808,0.179078,0.000113784
4834,0.911765,0.0880501,0.000184772
10914,0.733066,0.266775,0.000158793
14606,0.820808,0.179078,0.000113784
3220,0.97791,0.0219799,0.000110293
10433,0.702564,0.297294,0.000141966
11251,0.4122,0.587747,5.36143e-05
8084,0.983927,0.0160164,5.61211e-05
522,0.931175,0.0683592,0.000465735
17299,0.81261,0.187273,0.000117749
15587,0.899215,0.100693,9.20996e-05
1563,0.911765,0.0880501,0.000184772
8252,0.768171,0.231562,0.000266813
17802,0.917723,0.0820988,0.000177922
2738,0.647118,0.352751,0.000131211
9896,0.90913,0.0908398,3.05522e-05
14609,0.29547,0.70208,0.00244967
10463,0.618837,0.381062,0.000100734
1280,0.904029,0.0959082,6.27684e-05
